plot_id,census_tree_id,census_stem_id,census_species,census_x_rot_m,census_y_rot_m,census_dbh_m,t2t_matches,t2t_tree_id,rct_matches,rct_tile,rct_tree_id,t2t_tree_id_best,t2t_dbh_best,rct_tile_best,rct_tree_id_best,rct_dbh_best,,cstart,suitability
p02,333,334,Combretum collinum,-19.7555159,21.14615018,0.134,1,['0012_T1'],4,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0', 'Tile_0_1']","[10, 12, 16, 4]",0012_T1,0.13,0_0,10,0.087,,,
p02,333,333,Combretum collinum,-19.78366462,21.3242166,0.126,1,['0012_T1'],4,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0', 'Tile_0_1']","[10, 12, 16, 4]",,,0_0,12,0.092,,,
p02,336,336,Philenoptera nelsii,-12.01285389,23.07490239,0.193,1,['0022_T0'],3,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0']","[16, 20, 161]",0022_T0,0.12,0_0,20,0.182,,4,good
p02,359,359,Philenoptera nelsii,-11.57909494,10.06408177,0.136,3,"['0014_T1', '0014_T2', '0013_T0']",4,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0', 'Tile_0_0']","[22, 23, 24, 29]",0013_T0,0.186,0_0,23,0.131,,2.5,good
p02,335,335,Philenoptera nelsii,-8.550433693,15.63084124,0.239,2,"['0014_T1', '0014_T2']",2,"['Tile_0_0', 'Tile_0_0']","[24, 29]",0014_T1,0.174,0_0,24,0.157,,,
p02,356,356,Combretum collinum,-8.032834001,11.82366505,0.103,1,['0014_T2'],2,"['Tile_0_0', 'Tile_0_0']","[23, 29]",0014_T2,0.121,0_0,29,0.137,,3,
p02,352,352,Philenoptera nelsii,-5.935604433,7.704608344,0.326,4,"['0014_T1', '0008_T0', '0008_T1', '0013_T0']",2,"['Tile_0_0', 'Tile_0_0']","[40, 46]",0008_T1,0.317,0_0,40,0.327,,,
p02,358,358,Burkea africana,-10.10122329,7.944648971,0.386,2,"['0008_T0', '0008_T1']",1,['Tile_0_0'],[40],0008_T0,0.416,0_0,40,0.327,,4.7,good
p02,349,349,Combretum collinum,-5.289457616,4.274361371,0.085,0,[],3,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0']","[44, 50, 206]",,,0_0,44,0.099,,2.3,
p02,348,348,Philenoptera nelsii,-1.656203189,4.169184041,0.117,0,[],4,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0', 'Tile_0_0']","[44, 50, 53, 206]",,,0_0,53,0.132,,2.9,
p02,403,403,Combretum collinum,-0.482809904,20.15776585,0.059,0,[],1,['Tile_0_0'],[56],,,0_0,56,0.058,,,
p02,346,346,Combretum collinum,6.156182125,14.43169522,0.075,0,[],4,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0', 'Tile_0_0']","[89, 99, 268, 269]",,,0_0,89,0.049,,,
p02,328,328,Julbernardia paniculata,5.220410186,18.39740208,0.165,0,[],2,"['Tile_0_0', 'Tile_0_0']","[69, 90]",,,0_0,90,0.118,,2.2,
p02,336,337,Philenoptera nelsii,-11.79021149,22.98093238,0.216,1,['0022_T0'],3,"['Tile_0_0', 'Tile_0_0', 'Tile_0_0']","[16, 20, 161]",,,0_0,161,0.197,,3,good
p02,347,347,Combretum collinum,-1.245197935,6.969090233,0.072,0,[],2,"['Tile_0_0', 'Tile_0_0']","[44, 206]",,,0_0,206,0.076,,,
p02,349,350,Combretum collinum,-5.182043567,4.305381076,0.068,0,[],2,"['Tile_0_0', 'Tile_0_0']","[44, 206]",,,0_0,206,0.076,,,
p02,325,325,Philenoptera nelsii,-24.41028538,43.30908368,0.179,1,['0045_T1'],1,['Tile_0_1'],[1],0045_T1,0.095,0_1,1,0.171,,2,good
p02,195,195,Combretum collinum,-23.75384448,65.90726912,0.06,0,[],2,"['Tile_0_1', 'Tile_0_1']","[14, 276]",,,0_1,14,0.072,,,
p02,196,196,Combretum collinum,-23.80750843,66.85067793,0.066,0,[],1,['Tile_0_1'],[14],,,0_1,14,0.072,,,
p02,204,204,Terminalia brachystemma,-19.45521019,66.85074313,0.054,0,[],1,['Tile_0_1'],[14],,,0_1,14,0.072,,,
p02,203,203,Burkea africana,-21.82095275,65.58103367,0.28,0,[],1,['Tile_0_1'],[18],,,0_1,18,0.231,,,
