country,date,plot_id,tile_coords,tree_id,theta,total_vv,total_hh,gnd_crown_gnd_vv,gnd_crown_gnd_hh,crown_ground_vv,crown_ground_hh,ground_crown_vv,ground_crown_hh,direct_crown_vv,direct_crown_hh,trunk_ground_vv,trunk_ground_hh,ground_trunk_vv,ground_trunk_hh,direct_ground_vv,direct_ground_hh,total_vh,total_hv,gnd_crown_gnd_vh,gnd_crown_gnd_hv,crown_ground_vh,crown_ground_hv,ground_crown_vh,ground_crown_hv,direct_crown_vh,direct_crown_hv,trunk_ground_vh,trunk_ground_hv,ground_trunk_vh,ground_trunk_hv,direct_ground_vh,direct_ground_hv,height,total_tree_vol_m3,total_tree_sa_m2,trunk_vol_m3,trunk_sa_m2,trunk_diameter,trunk_length,crown_vol_m3,crown_sa_m2,crown_radius,crown_thickness,cstart,leaf_density,census_species,wood_density,angle,rms_height,correlation_length,percent_sand,percent_clay,trunk_moisture,trunk_dry_density,branch_1_moisture,branch_1_dry_density,branch_1_length,branch_1_diameter,branch_1_density,branch_1_pdf,branch_2_moisture,branch_2_dry_density,branch_2_length,branch_2_diameter,branch_2_density,branch_2_pdf,branch_3_moisture,branch_3_dry_density,branch_3_length,branch_3_diameter,branch_3_density,branch_3_pdf,branch_4_moisture,branch_4_dry_density,branch_4_length,branch_4_diameter,branch_4_density,branch_4_pdf,branch_5_moisture,branch_5_dry_density,branch_5_length,branch_5_diameter,branch_5_density,branch_5_pdf,tree_sa_to_volume_ratio,trunk_to_tree_volume_ratio,canopy_to_tree_volume_ratio,order_0_to_tree_volume_ratio,order_0_sa_to_volume_ratio,order_1_to_tree_volume_ratio,order_1_sa_to_volume_ratio,order_2_to_tree_volume_ratio,order_2_sa_to_volume_ratio,order_3_to_tree_volume_ratio,order_3_sa_to_volume_ratio,order_4_to_tree_volume_ratio,order_4_sa_to_volume_ratio,order_5_to_tree_volume_ratio,order_5_sa_to_volume_ratio,frequency,canopy_density,soil_moisture,run
Angola,2024-02-26,P09,Tile_0_0,43,30.0,-16.38,-13.84,-47.11,-42.08,-25.93,-19.27,-25.93,-19.27,-17.75,-19.9,-35.02,-25.55,-35.02,-25.55,-33.15,-27.58,-20.08,-20.08,-49.18,-49.18,-24.55,-28.14,-28.14,-24.55,-23.41,-23.41,-40.58,-39.09,-39.09,-40.58,-171.89,-173.25,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,0.43,0.0119,0.25,0
Angola,2024-02-26,P09,Tile_0_0,43,30.0,-15.65,-12.51,-42.64,-38.7,-23.7,-17.58,-23.7,-17.58,-17.75,-19.9,-32.78,-23.86,-32.78,-23.86,-30.91,-25.89,-18.98,-18.98,-45.26,-45.26,-22.87,-25.91,-25.91,-22.87,-23.41,-23.41,-38.34,-37.41,-37.41,-38.34,-170.2,-171.01,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,0.43,0.0119,0.5,1
Angola,2024-02-26,P09,Tile_0_0,43,30.0,-15.26,-11.92,-40.74,-37.27,-22.75,-16.87,-22.75,-16.87,-17.75,-19.9,-31.84,-23.15,-31.84,-23.15,-29.97,-25.18,-18.45,-18.45,-43.6,-43.6,-22.15,-24.96,-24.96,-22.15,-23.41,-23.41,-37.39,-36.69,-36.69,-37.39,-169.49,-170.06,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,0.43,0.0119,0.75,2
Angola,2024-02-26,P09,Tile_0_0,43,30.0,-13.45,-11.66,-45.2,-40.48,-28.74,-20.97,-28.74,-20.97,-13.94,-13.54,-32.37,-25.18,-32.37,-25.18,-30.18,-27.31,-22.05,-22.05,-52.55,-52.55,-29.75,-31.92,-31.92,-29.75,-23.45,-23.45,-53.01,-51.6,-51.6,-53.01,-170.28,-171.63,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,1.2,0.0119,0.25,3
Angola,2024-02-26,P09,Tile_0_0,43,30.0,-13.14,-10.99,-40.73,-37.1,-26.51,-19.29,-26.51,-19.29,-13.94,-13.54,-30.13,-23.49,-30.13,-23.49,-27.95,-25.63,-21.43,-21.43,-48.63,-48.63,-28.06,-29.68,-29.68,-28.06,-23.45,-23.45,-50.77,-49.91,-49.91,-50.77,-168.59,-169.4,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,1.2,0.0119,0.5,4
Angola,2024-02-26,P09,Tile_0_0,43,30.0,-12.97,-10.65,-38.84,-35.68,-25.56,-18.57,-25.56,-18.57,-13.94,-13.54,-29.18,-22.78,-29.18,-22.78,-27.0,-24.91,-21.11,-21.11,-46.97,-46.97,-27.35,-28.73,-28.73,-27.35,-23.45,-23.45,-49.82,-49.2,-49.2,-49.82,-167.87,-168.45,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,1.2,0.0119,0.75,5
Angola,2024-02-26,P09,Tile_0_0,43,30.0,6.65,6.69,-119.58,-116.38,-70.93,-64.36,-70.93,-64.36,6.65,6.69,-85.76,-78.83,-85.76,-78.83,-67.52,-65.75,-2.85,-2.85,-127.5,-127.5,-74.2,-75.78,-75.78,-74.2,-2.85,-2.85,-121.0,-119.62,-119.62,-121.0,-208.15,-209.52,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,5.4,0.0119,0.25,6
Angola,2024-02-26,P09,Tile_0_0,43,30.0,6.65,6.69,-115.2,-113.07,-68.74,-62.71,-68.74,-62.71,6.65,6.69,-83.57,-77.17,-83.57,-77.17,-65.33,-64.09,-2.85,-2.85,-123.66,-123.66,-72.55,-73.59,-73.59,-72.55,-2.85,-2.85,-118.81,-117.96,-117.96,-118.81,-206.49,-207.33,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,5.4,0.0119,0.5,7
Angola,2024-02-26,P09,Tile_0_0,43,30.0,6.65,6.69,-113.3,-111.63,-67.79,-61.99,-67.79,-61.99,6.65,6.69,-82.62,-76.46,-82.62,-76.46,-64.37,-63.37,-2.85,-2.85,-121.98,-121.98,-71.83,-72.64,-72.64,-71.83,-2.85,-2.85,-117.86,-117.24,-117.24,-117.86,-205.78,-206.38,10.499,0.445,22.984,0.223,5.705,24.94,16.012,0.221,17.279,7.595,10.499,0.702,1018.034,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,10.669,11.194,0.0304,12,0.5,0.76,4.759,4.919,0.0718,12,0.5,0.76,2.11,2.307,0.0667,18,0.5,0.76,1.144,1.271,0.0397,18,0.5,0.76,0.666,0.815,0.0211,18,51.687,0.502,0.498,0.502,25.547,0.368,52.735,0.098,119.934,0.025,214.296,0.005,353.372,0.001,552.288,5.4,0.0119,0.75,8
Angola,2024-02-26,P09,Tile_0_0,44,30.0,-11.09,-12.14,-35.31,-36.35,-26.2,-18.62,-26.2,-18.62,-11.59,-16.14,-30.65,-25.0,-30.65,-25.0,-27.58,-25.67,-16.45,-16.45,-39.32,-39.32,-26.62,-28.38,-28.38,-26.62,-17.35,-17.35,-36.68,-35.2,-35.2,-36.68,-168.16,-169.51,10.647,0.359,20.894,0.224,5.643,21.88,15.479,0.135,15.251,8.039,10.244,0.94,1190.689,Baikiaea plurijuga,0.76,30,1.5,17.5,40,10,0.5,0.76,0.5,0.76,7.837,8.145,0.016,12,0.5,0.76,5.343,4.199,0.051,14,0.5,0.76,2.709,2.317,0.051,18,0.5,0.76,1.733,1.545,0.0381,18,0.5,0.76,0.655,0.844,0.0175,14,58.208,0.625,0.375,0.625,25.16,0.198,72.74,0.126,125.044,0.039,211.747,0.012,306.974,0.001,504.871,0.43,0.0119,0.25,9
