plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p02,0_0,40,0.327,,
p02,0_0,24,0.157,,
p02,0_0,40,0.327,4.7,good
p02,0_0,161,0.197,3,good
p02,0_0,20,0.182,4,good
p02,0_0,29,0.137,3,
p02,0_0,53,0.132,2.9,
p02,0_0,23,0.131,2.5,good
p02,0_0,90,0.118,2.2,
p02,0_0,44,0.099,2.3,
p02,0_0,12,0.092,,
p02,0_0,10,0.087,,
p02,0_0,206,0.076,,
p02,0_0,206,0.076,,
p02,0_0,56,0.058,,
p02,0_0,89,0.049,,
p02,0_1,73,0.249,,
p02,0_1,73,0.249,,
p02,0_1,25,0.21,,
p02,0_1,407,0.109,,
p02,0_1,71,0.106,,
p02,0_1,18,0.231,,
p02,0_1,25,0.21,,
p02,0_1,407,0.109,,
p02,0_1,29,0.107,,
p02,0_1,201,0.098,,
p02,0_1,150,0.358,4.3,good
p02,0_1,158,0.33,9,good
p02,0_1,102,0.275,8,good
p02,0_1,73,0.249,4.8,good
p02,0_1,165,0.215,2.8,good
p02,0_1,176,0.209,4.3,good
p02,0_1,1,0.171,2,good
p02,0_1,249,0.17,3,good
p02,0_1,67,0.136,2.3,
p02,0_1,257,0.136,3.9,good
p02,0_1,236,0.12,2.1,good
p02,0_1,71,0.106,3,
p02,0_1,275,0.097,,
p02,0_1,60,0.095,,
p02,0_1,469,0.092,,
p02,0_1,469,0.092,,
p02,0_1,179,0.09,,
p02,0_1,570,0.09,,
p02,0_1,101,0.085,,
p02,0_1,101,0.085,,
p02,0_1,171,0.08,,
p02,0_1,171,0.08,,
p02,0_1,171,0.08,,
p02,0_1,234,0.08,,
p02,0_1,57,0.077,,
p02,0_1,57,0.077,,
p02,0_1,57,0.077,,
p02,0_1,209,0.073,,
p02,0_1,14,0.072,,
p02,0_1,14,0.072,,
p02,0_1,14,0.072,,
p02,0_1,542,0.07,,
p02,0_1,129,0.068,,
p02,0_1,129,0.068,,
p02,0_1,40,0.052,,
p02,0_1,114,0.051,,
p02,0_1,114,0.051,,
p02,0_1,185,0.051,,
p02,0_1,498,0.049,,
p02,0_1,498,0.049,,
p02,0_1,498,0.049,,
p02,0_1,498,0.049,,
p02,0_1,498,0.049,,
p02,0_1,498,0.049,,
p02,0_1,36,0.031,,
p02,0_1,134,0.028,,
p02,0_2,367,0.327,,
p02,0_2,367,0.327,,
p02,0_2,266,0.291,,
p02,0_2,282,0.276,,
p02,0_2,282,0.276,,
p02,0_2,58,0.224,,
p02,0_2,202,0.119,,
p02,0_2,323,0.113,,
p02,0_2,852,0.102,,
p02,0_2,243,0.097,,
p02,0_2,367,0.327,,
p02,0_2,955,0.16,,
p02,0_2,202,0.119,,
p02,0_2,323,0.113,,
p02,0_2,852,0.102,,
p02,0_2,96,0.388,7,good
p02,0_2,389,0.314,5,good
p02,0_2,266,0.291,7.6,good
p02,0_2,1216,0.277,5.3,good
p02,0_2,282,0.276,3.2,good
p02,0_2,382,0.231,5,good
p02,0_2,58,0.224,10,good
p02,0_2,343,0.097,,
p02,0_2,343,0.097,,
p02,0_2,383,0.092,,
p02,0_2,383,0.092,,
p02,0_2,383,0.092,,
p02,0_2,1208,0.09,,
p02,0_2,1208,0.09,,
p02,0_2,1208,0.09,,
p02,0_2,268,0.082,,
p02,0_2,378,0.082,,
p02,0_2,136,0.078,,
p02,0_2,370,0.078,,
p02,0_2,370,0.078,,
